,0
12485,oberynAnything at all.
12486,cerseiThe best shipwrights in King's Landing have been working on it for months. Myrcella loves the open water.
12487,oberynI will have it sailed down to Sunspear for her.
12488,cerseiPlease tell her... her mother misses her very much.
12489,"podrickOh, no, no, no."
12490,"podrickNo, no, no, no."
12491,podrickHells. Gods.
12492,brienneDid you remove the skin?
12493,"podrickNo, my lady."
12494,brienneHave you ever cooked a rabbit before?
12495,brienneDid you ever cook anything for Lord Tyrion?
12496,"podrickNo, my lady. That was the cooks."
12497,brienneWhat are you doing?
12498,podrickI'm helping you with your armor.
12499,"brienneI've been removing my own armor for quite some time, thank you very much."
12500,brienneWhat exactly did you do for Lord Tyrion?
12501,podrickI brought him his meals and cleared his table when he was finished. I kept his clothing and linens clean. Carried his messages and returned the replies. Mostly I poured wine.
12502,"brienneOh. Whilst in Lord Tyrion's service, did you ever do anything remotely related to combat?"
12503,podrickI killed a man.
12504,brienneWho?
12505,podrickA Kingsguard. He tried to kill Lord Tyrion at the Blackwater.
12506,brienneHow did you kill a Kingsguard?
12507,podrickI pushed a spear through the back of his head.
12508,brienneBloody ridiculous. Help me with these straps.
12509,"rastHey. Hey, get up. Get up."
12510,"manThat's it lad, put it inside. Get the fire going again. We're all freezing."
12511,manAye. What we need is a girl there.
12512,manI've got to have a piss.
12513,manNow keep quiet.
12514,meeraYou need water.
12515,jojenIt doesn't matter.
12516,meeraOf course it matters.
12517,jojenYou mustn't let anything stop you.
12518,branThey already have stopped me.
12519,jojenNo. You're not here. You're far from here.
12520,meeraWhat does that mean?
12521,jojenAt the hill. A great weirwood tree.
12522,"branYou've seen it, too."
12523,"jojenMeera and I, even Hodor, we're only here to guide you. He's waiting for you. We have to find it. You have to make it."
12524,branWe will.
12525,jojenThis... this isn't the end. Not for you. Not yet.
12526,meeraHow... will we know the end?
12527,jojenYou'll know.
12528,lockeBrothers.
12529,dolorousYou do move quiet.
12530,jonHow many?
12531,lockeEleven men. Most of them already drunk. No guards posted. They don't seem to have a care in the world. We'll carve them up like walnut pie.
12532,grennKarl was a top paid cutthroat in Flea Bottom. I've seen what he can do with a knife.
12533,lockeHave you seen what I can do with a knife?
12534,grennNot yet.
12535,lockeThere's a hut on the west side of the keep. We should steer clear of it.
12536,jonWhy?
12537,"lockeThey've got some hounds chained up inside. Closer we can get without the dogs sniffing us, the better."
12538,grennNew moon tonight.
12539,jonGet some rest. We move at sundown.
12540,karlI've always liked a girl with curls. A touch of class. You take whatever's left.
12541,karlGet her up.
12542,branStop.
12543,jojenStop. What are you doing?
12544,hodorHodor. Hodor. Hodor.
12545,branStop. Stop!
12546,hodorHodor. Hodor.
12547,branStop! Please.
12548,hodorHodor.
12549,"branPlease, get off her!"
12550,"branPlease! Please, leave her alone!"
12551,"branPlease, stop. Stop."
12552,branWhat are you doing? Leave her alone!
12553,branNo!
12554,"karlShh. Shh, shh, shh."
12555,karlShh.
12556,"karlYou've got pretty hair, don't you? Now what is a pretty little highborn girl like you doing out here in the deep, dark woods, eh? You left your daddy's castle looking for trouble, didn't you? No dresses for you. You like it rough, don't you? You like it in the gutter, don't you?"
12557,"jojenIf you let my sister go, I can help you."
12558,karlYou can help me?
12559,jojenI can.
12560,karlAnd how you gonna do that?
12561,jojenI have the sight. I can see things.
12562,karlThat's very helpful.
12563,jojenThings that haven't happened yet.
12564,karlWhat a fine thing. A fine thing.
12565,karlHave you seen what I'm gonna do to your sister? Have you seen what they're going to do to your sister?
12566,jojenNo.
12567,karlDon't close your eyes.
12568,jojenI saw you die tonight. I saw your body burn. I saw the snow fall and bury your bones.
12569,manTo arms!
12570,"rastThey're here, the Night's Watch."
12571,"lockeRescue party is here, lads. Lady."
12572,branIs Jon with you?
12573,lockeAye. I'll take you to him.
12574,lockeYou're Brandon Stark?
12575,"lockeThe little crippled lord. We're going for a ride, boy."
12576,bronnJon! Jon!
12577,lockeKeep talking and I'll cut your friends' throats. Starting with the idiot. Do you hear? Do you hear?
12578,hodorHodor! Hodor! Hodor. Hodor.
12579,hodorHodor. Hodor. Hodor. Hodor. Hodor.
12580,"branHodor. Hodor, get his knife. Cut me loose."
12581,"branHodor, get his knife. Hodor. Cut me loose, Hodor."
12582,"branJojen and Meera, free them. Go!"
12583,branJon.
12584,branJon!
12585,"jojenIf he sees you, he won't let you go north."
12586,branHe's my brother.
12587,jojenAnd wants to protect you. He'll take you back to Castle Black.
12588,jojenYou have to decide. Do you want to find the three-eyed raven?
12589,branHodor.
12590,branWe need to free Summer. And we need to go.
12591,karlLord Snow. Are you bringing me back for trial?
12592,karlWe had a good thing here. We were free men. You'll never be free. You'll never know what that's like.
12593,karlYou learn how to fight in a castle?
12594,"karlSome old man teach you how to stand, how to parry?"
12595,karlHow to fight with honor?
12596,karlYou know what's wrong with honor?
12597,karlYou.
12598,jonAre you all right? Come with me. Come on.
12599,jonWe lost four brothers?
12600,doloroudFive.
12601,grennWhat the seven hells could do that to a man?
12602,jonI count ten dead mutineers.
12603,grennLocke said there were eleven of them.
12604,dolrousWhere's Rast?
12605,manHere's another.
12606,grennJon.
12607,jonWhere in seven hells? Come here.
12608,"jonI missed you, boy."
12609,dolorousWhat should we do with this lot?
12610,jonIt's not safe for you here on your own. Mance Rayder has an army heading this way and there's worse out there than Mance. Come with us to Castle Black. We can find you work. Keep you safe.
12611,"moragMeaning all respect, Ser Crow, Craster beat us and worse. Your brother crows beat us and worse. We'll find our own way."
12612,jonYou want to stay here in Craster's Keep?
12613,moragBurn it to the ground and all the dead with it.
12614,"davosYour Grace, if you'd like to sit, I'm sure that--"
12615,stannisWe've been here since midday.
12616,"davosEasterners have a difference sense of time, I've often found. Once I was waiting for Salladhor Saan here in Braavos. Together, we were going to run three shiploads of the finest--"
12617,"tychoWelcome to the Iron Bank. Please, sit."
12618,"tychoWhat can we do for you, Lord Stannis?"
12619,"davosThis is Stannis of the House Baratheon, King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm."
12620,"tychoThe Iron Throne is currently occupied by Tommen of the House Baratheon, King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm."
12621,stannisHe shares no blood with me. He is a bastard born of incest. As was his brother before him.
12622,"tychoYes, we have heard this story."
12623,stannisIt's not a story. It's the truth.
12624,tychoThe king's grandfather tells a different story. A story about a jealous uncle whose attempts to usurp the throne from the rightful king cost the Seven Kingdoms dearly in blood and gold.
12625,stannisGold you loaned him.
12626,tychoAnd you feel your blood gives you a claim on our gold?
12627,stannisMore than any man living.
12628,"tychoAcross the Narrow Sea, your books are filled with words like ""usurper"" and ""madman"" and ""blood right."" Here, our books are filled with numbers. We prefer the stories they tell. More plain. Less open to interpretation. How many fighting men remain loyal to you?"
12629,"stannis4,000."
12630,"tychoAnd how many ships do you have? The ones still afloat, Ser Davos, not at the bottom of Blackwater Bay."
12631,davos32.
12632,"tychoAnd how much wheat and barley and beef and pork do you produce on Dragonstone to feed your 4,000 men on your 32 ships?"
12633,stannisNone.
12634,tychoYou can see why these numbers seem unlikely to add up to a happy ending from our perspective. I'm afraid we must respectfully decline your request. But we thank you for paying us the honor of your visit.
12635,davosMy lord.
12636,"tychoI'm not a lord, Ser Davos Seaworth. You would not be either here. In Braavos, thieves are not rewarded with titles."
12637,"davosWell, strictly speaking, I didn't do the thieving. That would be the pirates. I just moved what they stole from one place to another. {DAVOS removes his right glove to show the stubs of his fingers."
12638,"davosThis is the payment that was demanded by King Stannis for my crimes. I consider it an honest accounting. He's an honest man and he's your best chance to get back the money you've sunk into Westeros. Which is a lot, I imagine. Wars are expensive."
12639,tychoThe war is over.
12640,"davosAs long as Stannis lives, the war is not over. Who's the real power in King's Landing?"
12641,tychoSer Davos...
12642,davosHumor me.
12643,tychoTywin Lannister.
12644,davosHow old is Tywin Lannister?
12645,tycho67.
12646,"stannis67. And when he dies, who's in command? A half-grown boy, the product of incest? Cersei Lannister, a queen whose people despise her? Jaime Lannister, a man best known for killing the king he was sworn to protect? When Tywin's gone, who do you back?"
12647,tychoThat is a problem for another time.
12648,"davosBegging your pardon, I think it's a problem for now. There's only one reliable leader left in Westeros. Stannis. He's got the birthright. He's in his prime. He's a tried and tested battle commander. And he doesn't just talk about paying people back, he does it."
12649,"salladorThe lookout sees a pirate ship sailing their way. The captain shouts to his first mate, ""Bring me my red shirt."" The first mate brings the red shirt and the captain puts it on. And when the pirates try to board, the brave captain leads his men to victory. A few days later, the lookout screams, ""Two pirate ships!"" The crew is shivering like scared mice. But the courageous captain hollers, ""Bring me my red shirt!"""
12650,"salladorAfter the battle, the first mate asks, ""Captain, why do you call for your red shirt before battle?"" The captain replies, ""So that if I am stabbed, you will not see me bleed."" The next morning the lookout screams, ""10 pirate ships! We are surrounded!"" The crew goes silent."
12651,"salladorThey all look to their brave captain, waiting for his usual command. Calm as ever, the captain bellows..."
12652,womenBring me my brown pants!
12653,davosYou think they ever met a pirate who didn't tell them that joke?
12654,salladorDavos. I heard you were rotting in a dungeon in Dragonstone.
12655,davosOnly half rotted.
12656,"salladorJoin us, my friend. Join us. This is Lhara. And this is--"
12657,lharaI am Lhara.
12658,"salladorShe's an artist, this one, truly."
12659,"davosNo time, I'm afraid. We sail at sunrise."
12660,salladorWe?
12661,"davosYou, me-- we."
12662,salladorOnce I thought this man loved me. Now I know he despises me. He wants to see me die poor and alone on some cold--
12663,davosYou won't be alone. And you won't be poor.
12664,davosThere's a chest of the good stuff left back at your house. I gave it to your wife.
12665,"salladorYou're not my friend, my friend."
12666,davosI'll see you at sunrise.
12667,"yaraI give you until the full moon to order all ironborn scum out of the North and back to those shit-stained rocks you call home. On the first night of the full moon, I will hunt down every islander still on our lands and flay them living, the way I flayed the 20 ironborn scum I found at Winterfell. In the box you'll find a special gift-- Theon's favorite toy. He cried when I took it away from him. Leave the North now or more boxes will follow with more Theon. Signed Ramsay Snow, natural born son of Roose Bolton, Lord of the Dreadfort and Warden of the North."
12668,myrandaYes!
12669,"yaraThey skinned our countrymen and they mutilated my brother, your prince. Your prince. Everything they've done to him, they've also done to you."
12670,myrandaYes! Yes!
12671,"yaraAs long as they can hurt our prince with impunity, the word ironborn means nothing."
12672,firstGo left.
12673,yaraTheon Greyjoy.
12674,boltonI don't know--
12675,yaraI'm here for Theon Greyjoy. Take me to the dungeons.
12676,boltonHe's not in the dungeons.
12677,boltonLast cage on the right.
12678,yaraThank you.
12679,yaraThis way!
12680,yaraWe're going home.
12681,theonNo!
12682,"yaraIt's all right. It's me, Yara."
12683,theonYou can't trick me. Tell him. Tell him you couldn't trick me.
12684,"yaraI'm not tricking you, Theon. I'm saving you."
12685,theonNot Theon! Reek! Reek! My name is Reek!
12686,firstThey're here.
12687,"yaraIf they catch us in here, we're trapped. Help me with him."
12688,"theonNo, you can't! You can't!"
12689,yaraYou're Theon Greyjoy.
12690,"theonNo, I don't believe her! I know who I am! I'm Reek! Reek! Loyal Reek! Good Reek! I've always been Reek!"
12691,ramsayThis is turning into a lovely evening.
12692,theonI'm Reek! Loyal Reek!
12693,yaraAah! Theon!
12694,yaraGive me my brother and no more of your men will die.
12695,ramsayYou've got bigger balls than he ever did. But with those big balls of yours...
12696,ramsayhow fast can you run?
12697,"yaraMake for the ship, now."
12698,ironbornBut your brother.
12699,yaraMy brother is dead.
12700,ramsayI have a treat for you. A reward.
12701,theonReward?
12702,"ramsayYes, Reek. Those creatures who came in the night, they wanted to take you away. And you didn't let them. You remained loyal."
12703,theonI-- I didn't want them to take me. I was so scared. I didn't want them--
12704,"ramsayYes, yes, Reek. It's a bath. For you. Remove those rags. Now."
12705,"ramsayThe britches, too, Reek. Take them off."
12706,"ramsayDo you love me, Reek?"
12707,"theonYes, of course, my lord."
12708,"ramsayGood. Because I need you to do something for me. Something very important. There's a castle, you see. Some bad men hold this castle. I need your help to take this castle back."
12709,theonBut how can--
12710,ramsayI need you to play a role. To pretend to be someone you're not.
12711,theonPretend to be who?
12712,ramsayTheon Greyjoy.
12713,"daenerysYou stand before Daenerys Stormborn of the House Targaryen, the First of Her Name, Queen of Meereen, Queen of the Andals and the First Men, Khaleesi of the Great Sea, Breaker of Chains and Mother of Dragons. Don't be afraid, my friend."
12714,missandeiThe Queen says you may approach and speak.
12715,missandeiHe is a goatherd. He says he prayed for your victory against the slave masters.
12716,daenerysI thank him for his prayers.
12717,"missandeiIt was your dragons, he says. They came this morning for his flock."
12718,"missandeiHe hopes he has not offended Your Grace, but now he has nothing."
12719,"daenerysTell this man I am sorry for his hardship. I cannot bring back his goats,"
12720,daenerysbut I will see he is paid their value three times over.
12721,daenerysSend the next one in.
12722,manservantThe noble Hizdahr zo Loraq begs an audience with the Queen.
12723,daenerysThe noble Hizdahr zo Loraq can speak to me himself.
12724,hizdahrQueen Daenerys. Tales of your beauty were not exaggerated.
12725,daenerysI thank you.
12726,hizdahrMine is one of the oldest and proudest families in Meereen.
12727,daenerysThen it is my honor to receive you.
12728,"hizdahrMy father, one of Meereen's most respected and beloved citizens, oversaw the restoration and maintenance of its greatest landmarks. This pyramid included."
12729,"daenerysFor that, he has my gratitude. I should be honored to meet him."
12730,"hizdahrYou have, Your Grace. You crucified him. I pray you'll never live to see a member of your family treated so cruelly."
12731,daenerysYour father crucified innocent children.
12732,"hizdahrMy father spoke out against crucifying those children. He decried it as a criminal act, but was overruled. Is it justice to answer one crime with another?"
12733,"daenerysI am sorry you no longer have a father, but my treatment of the masters was no crime. You'd be wise to remember that."
12734,hizdahrWhat's done is done. You are the queen and I am a servant of Meereen. A servant who does not wish to see its traditions eradicated.
12735,daenerysAnd what traditions do you speak of?
12736,"hizdahrThe tradition of funeral rite. Proper burial in the Temple of the Graces. My father and 162 noble Meereenese are still nailed to those posts, carrion for vultures, rotting in the sun."
12737,"hizdahrYour Grace, I ask that you order these men taken down so that they might receive proper burials."
12738,daenerysAnd what of the slave children these noble Meereenese crucified? They were rotting in the sun as well. Would you have begged me for their right to a proper burial?
12739,"hizdahrYour Grace, I cannot defend the actions of the masters. I can only speak to you as a son who loved his father. Let me take his body down. Let me have him brought to the temple and buried with dignity so that he might find peace in the next world."
12740,"daenerysBury your father, Hizdahr zo Loraq."
12741,"hizdahrThank you, my queen."
12742,daenerysHow many more?
12743,"missandeiThere are 212 supplicants waiting, Your Grace."
12744,daenerys212?
12745,"oberynThese meetings aren't always going to be this early, are they? I was up late last night. So, does this mean I am a master of something now? Coins, ships?"
12746,maceLord Tywin and I already determined that I shall be the Master of Ships long before you--
12747,"maceLord Tywin, it's a great honor to have been granted a seat on this council. I--"
12748,tywinThe trial begins this afternoon. We only have the morning for affairs of state. Shall we begin?
12749,"varysSandor Clegane has been spotted in the Riverlands, my lord."
12750,cerseiA coward and a traitor.
12751,"varysMy birds tell me the Hound slaughtered five of our soldiers. I believe the phrase ""fuck the king"" was uttered."
12752,pycelleDisgraceful.
12753,tywinWhat would it take to make the common soldier stupid enough to try his luck with the Hound?
12754,varys10 silver stags seems a generous bounty.
12755,tywinMake it 100. What else?
12756,"varysMore whispers from the east, my lord."
12757,tywinThe Targaryen girl?
12758,varysDaenerys has taken up residence in Meereen. She has conquered the city and rules as its queen.
12759,cerseiConquered with what?
12760,"varysShe commands an army of Unsullied, my queen. Some 8,000 strong. She has a company of sellswords-- the Second Sons. She has two knights advising her-- Jorah Mormont and Barristan Selmy. And she has three dragons."
12761,"cerseiBaby dragons. Larger every year, Your Grace."
12762,pycelleMormont is spying on her for us.
12763,"varysNo longer. He appears to be fully devoted to her. As for Ser Barristan, it would seem he took his dismissal from the Kingsguard a bit harder than anticipated."
12764,cerseiHe's an old man. He wasn't fit to protect my son.
12765,tywinJoffrey didn't die on his watch. Dismissing him was as insulting as it was stupid.
12766,cerseiDon't tell me you're worried about a child halfway across the world.
12767,"varysA child with two seasoned warriors counseling her and a powerful army at her back, Your Grace."
12768,oberynLord Varys is right. I have been to Essos and seen the Unsullied firsthand. They are very impressive on the battlefield. Less so in the bedroom.
12769,tywinDragons haven't won a war in 300 years. Armies win them all the time. She must be dealt with.
12770,"pycelleHow, my lord? By force?"
12771,"tywinEventually, if it comes to that. Can your little birds find their way into Meereen?"
12772,"varysMost certainly, my Lord Hand."
12773,"tywinMmm. Lord Tyrell, be a good man. Fetch my quill and paper."
12774,varysPrince Oberyn.
12775,oberynLord Varys...
12776,varysOnly Varys. I'm not actually a nobleman. No one is under obligation to call me lord.
12777,oberynAnd yet everyone does.
12778,varysYou seem quite knowledgeable about the Unsullied. Did you spend much time in Essos?
12779,oberynFive years.
12780,varysMay I ask why?
12781,oberynTis a big and beautiful world. Most of us live and die in the same corner where we were born and never get to see any of it. I don't want to be most of us.
12782,varysMost of us aren't princes.
12783,oberynYou are from Essos. Where? Lys?
12784,varysI have an ear for accents. I've lost my accent entirely.
12785,oberynI have an ear for that as well. How did you get here?
12786,varysIt's a long story.
12787,oberynOne you don't like telling people.
12788,varysPeople I trust.
12789,"oberynMy paramour Ellaria, she would find you very interesting. You should come to the brothel and meet her. We brought our own wine, not the swill they serve here. We have some lovely boys on retainer, but..."
12790,oberynYou did like boys before?
12791,oberynReally? Girls? Hmm. I hope you won't be offended when I say I never would have guessed.
12792,"varysNot at all. But I was never interested in girls, either."
12793,oberynWhat then?
12794,varysNothing.
12795,oberynEverybody is interested in something.
12796,"varysNot me. When I see what desire does to people, what it's done to this country, I am very glad to have no part in it. Besides, the absence of desire leaves one free to pursue other things."
12797,oberynSuch as?
12798,"tyrionLet me guess, I've been pardoned."
12799,tyrionReally?
12800,jaimeFather's orders.
12801,"tyrionWell, we mustn't disappoint Father."
12802,manKingslayer!
12803,"tommenI, Tommen of the House Baratheon, First of my Name, King of the Andals and the First Men, and Lord of the Seven Kingdoms, do hereby recuse myself from this trial. Tywin of the House Lannister, Hand of the King, Protector of the Realm, will sit as judge in my stead. And with him Prince Oberyn of the House Martell and Lord Mace of the House Tyrell. And if found guilty... may the gods punish the accused."
12804,"tywinTyrion of the House Lannister, you stand accused by the Queen Regent of regicide. Did you kill King Joffrey?"
12805,tyrionNo.
12806,"tywinDid your wife, the Lady Sansa?"
12807,tyrionNot that I know of.
12808,"tywinHow would you say he died, then?"
12809,tyrionChoked on his pigeon pie.
12810,tywinSo you would blame the bakers?
12811,tyrionOr the pigeons. Just leave me out of it.
12812,tywinThe crown may call its first witness.
12813,"merynOnce we'd got King Joffrey safely away from the mob, the Imp rounded on him. He slapped the king across the face and called him a vicious idiot and a fool. It wasn't the first time the Imp threatened Joffrey. Right here in this throne room, he marched up those steps and called our king a halfwit. Compared His Grace to the Mad King and suggested he'd meet the same fate. And when I spoke in the king's defense, he threatened to have me killed."
12814,"tyrionOh, why don't you tell them what Joffrey was doing?"
12815,tywinSilence.
12816,tyrionPointing a loaded crossbow at Sansa Stark while you tore at her clothes and beat her.
12817,"tywinSilence! You will not speak unless called upon. You're dismissed, Ser Meryn."
12818,"pycelleBasilisk venom, widow's blood, wolfsbane, essence of nightshade, sweetsleep, tears of Lys, demon's dance... blind eye--"
12819,"oberynI think you have made your point, Grand Maester. You have a lot of poison in your store."
12820,"pycelleHad, Prince Oberyn. My stores were plundered."
12821,tywinBy whom?
12822,"pycelleBy the accused, Tyrion Lannister, after he had me wrongfully imprisoned."
12823,"tywinGrand Maester, you examined King Joffrey's corpse. Was it without question poison that killed him?"
12824,pycelleWithout question.
12825,"pycelleThis was found on the body of Dontos Hollard, the king's fool. He was last seen spiriting Sansa Stark, the wife of the accused, away from the feast. She wore this necklace the day of the wedding. Residue of a most rare and terrible poison was found inside."
12826,tywinWas this one of the poisons stolen from your store?
12827,pyelleIt was. The Strangler. A poison few in the Seven Kingdoms possess. And used to strike down the most noble child the gods ever put on this good earth.
12828,cerseiI will hurt you for this. A day will come when you think you are safe and happy and your joy will turn to ashes in your mouth and you will know the debt is paid.
12829,maceYour own brother said this to you?
12830,"cerseiShortly before the Battle of Blackwater Bay. I confronted him about his plans to put Joffrey on the front lines. As it turned out, when the attack came, Joff insisted on remaining at the battlements. He believed his presence would inspire the troops."
12831,"oberynTyrion said, ""And you will know the debt is paid."" What debt?"
12832,cerseiI discovered he'd been keeping whores in the Tower of the Hand. I asked him to confine his salacious acts to the brothel where such behavior belongs. He wasn't pleased.
12833,"tywinThank you, Your Grace, for the courage of your testimony."
12834,maceDo you remember the precise nature of this threat?
12835,"varysI'm afraid I do, my lord. He said, ""Perhaps you should speak more softly to me, then. Monsters are dangerous and just now kings are dying like flies."""
12836,maceAnd he said this to you at a meeting of the small council?
12837,varysYes. After we received word of Robb Stark's death. He didn't seem gladdened by the news. Perhaps his marriage to Sansa Stark had made him more sympathetic to the northern cause.
12838,"tywinYou're excused, Lord Varys."
12839,"tyrionFather, may I ask the witness one question?"
12840,tywinOne.
12841,"tyrionYou once said that without me, this city would have faced certain defeat. You said the histories would never mention me, but you would not forget. Have you forgotten, Lord Varys?"
12842,"varysSadly, my lord, I never forget a thing."
12843,tywinWe will adjourn for now.
12844,tywinToll the bells in an hour's time.
12845,guardClear the court!
12846,jaimeYou'd condemn your own son to death?
12847,tywinI've condemned no one. The trial is not over.
12848,jaimeThis isn't a trial. It's a farce. Cersei has manipulated everything and you know it.
12849,tywinI know nothing of the sort.
12850,jaimeYou've always hated Tyrion.
12851,tywinHe killed his king.
12852,jaimeAs did I. Do you know the last order the Mad King gave me? To bring him your head. I saved your life so you could murder my brother?
12853,tywinIt won't be murder. It'll be justice.
12854,jaimeJustice?
12855,"tywinI'm performing my sworn duty as Hand of the King. If Tyrion is found guilty, he will be punished accordingly."
12856,jaimeHe'll be executed.
12857,"tywinNo, he'll be punished accordingly."
12858,"jaimeOnce you said family is what lives on. All that lives on. You told me about a dynasty that would last 1,000 years. What happens to your dynasty when Tyrion dies? I'm a Kingsguard, forbidden by oath to carry on the family line."
12859,tywinI'm well aware of your oath.
12860,jaimeWhat happens to your name? Who carries the lion banner into future battles? Your nephews? Lancel Lannister? Others whose names I don't even remember?
12861,tywinWhat happens to my dynasty if I spare the life of my grandson's killer?
12862,jaimeIt survives through me. I'll leave the Kingsguard. I'll take my place as your son and heir if you let Tyrion live.
12863,tywinDone.
12864,"tywinWhen the testimony's concluded and a guilty verdict rendered, Tyrion will be given the chance to speak. He'll plead for mercy. I'll allow him to join the Night's Watch. In three days' time, he'll depart for Castle Black and live out his days at the Wall. You'll remove your white cloak immediately. You will leave King's Landing to assume your rightful place at Casterly Rock. You will marry a suitable woman and father children named Lannister. And you'll never turn your back on your family again."
12865,jaimeYou have my word.
12866,tywinAnd you have mine.
12867,"tyrionNot going well, is it?"
12868,jaimeYou're going to be found guilty.
12869,"tyrionOh, you think so?"
12870,"jaimeWhen you are, you need to enter a formal plea for mercy and ask to be sent to the Wall. Father's agreed to it. He'll spare your life and allow you to join the Night's Watch."
12871,tyrionNed Stark was promised the same thing and we both know how that turned out.
12872,jaimeFather is not Joffrey. He'll keep his word.
12873,tyrionHow do you know?
12874,jaimeDo you trust me?
12875,jaimeKeep your mouth shut. No more outbursts. This will all be over soon.
12876,tywinThe crown may call its next witness.
12877,tywinState your name.
12878,shaeShae.
12879,tywinDo you swear by all the gods that your testimony will be true and honest?
12880,shaeI swear it.
12881,tywinDo you know this man?
12882,shaeYes. Tyrion Lannister.
12883,tywinHow do you know him?
12884,shaeI was handmaiden to his wife Lady Sansa.
12885,tywinThis man stands accused of murdering King Joffrey. What do you know of this?
12886,shaeI know that he's guilty.
12887,shaeHe and Sansa planned it together.
12888,tywinSilence! Continue.
12889,"shaeShe wanted revenge for her father, her mother, her brother. She blamed their deaths on the king. Tyrion was happy to help. He hated Joffrey. He hated the queen. He hated you, my lord."
12890,shaeHe stole poison from the Grand Maester's chamber to put in Joffrey's wine.
12891,oberynHow could you possibly know all this? Why would he reveal such plans to his wife's maid?
12892,shaeI wasn't just her maid. I was his whore.
12893,maceI beg your pardon? You said you were his...
12894,shaeHis whore.
12895,tywinHow did you come to be in his service?
12896,"shaeHe stole me. I was with another man, a knight in your lordship's army. But when Tyrion arrived at the camp, he sent one of his cutthroats into our tent. He broke the knight's arm and brought me to Lord Tyrion. ""You belong to me now,"" he said. ""I want you to fuck me like it's my last night in this world."""
12897,tywinSilence. Silence!
12898,oberynAnd did you?
12899,shaeDid I what?
12900,oberynFuck him like it was his last night in this world.
12901,"shaeI did everything he wanted. Whatever he told me to do to him. Whatever he felt like doing to me. I kissed him where he wanted. I licked him where he wanted. I let him put himself where he wanted. I was his property. I would wait in his chambers for hours so he could use me when he was bored. He ordered me to call him ""my lion,"" so I did. I took his face in my hands and said, ""I am yours and you are mine."""
12902,tyrionShae. Please don't.
12903,"shaeI am a whore. Remember? That was before he married Sansa. After that, all he wanted was her. But she wouldn't let him into her bed. So he promised to kill King Joffrey for her."
12904,"tyrionFather, I wish to confess. I wish... to confess."
12905,tywinYou wish to confess?
12906,tyrionI saved you. I saved this city and all your worthless lives. I should have let Stannis kill you all.
12907,tywinTyrion. Do you wish to confess?
12908,"tyrionYes, Father. I'm guilty. Guilty. Is that what you want to hear?"
12909,tywinYou admit you poisoned the king?
12910,"tyrionNo, of that I'm innocent. I'm guilty of a far more monstrous crime. I am guilty of being a dwarf."
12911,tywinYou are not on trial for being a dwarf.
12912,"tyrionOh, yes, I am. I've been on trial for that my entire life."
12913,tywinHave you nothing to say in your defense?
12914,"tyrionNothing but this-- I did not do it. I did not kill Joffrey, but I wish that I had."
12915,"tyrionWatching your vicious bastard die gave me more relief than 1,000 lying whores."
12916,tyrionI wish I was the monster you think I am. I wish I had enough poison for the whole pack of you. I would gladly give my life to watch you all swallow it.
12917,tywinSer Meryn. Ser Meryn. Escort the prisoner back to his cell.
12918,tyrionI will not give my life for Joffrey's murder. And I know I'll get no justice here. So I will let the gods decide my fate. I demand a trial by combat.
12919,jaimeI made a deal for you to keep your ungrateful head on your ungrateful neck a little while longer.
12920,"tyrionI'm sorry, what am I grateful for? The opportunity to live and die at the Wall as punishment for a crime I did not commit?"
12921,"jaimeYou threw your life away. You threw it away. It's not a joke. You understand that, don't you?"
12922,"tyrionOf course it's a joke, just not a very funny one. I couldn't- I couldn't listen to her standing there telling her lies. I couldn't do it."
12923,jaimeYou fell in love with a whore.
12924,"tyrionYes, I fell in love with a whore. And I was stupid enough to think that she had fallen in love with me. That deal you made, it was everything Father wanted. You do see that? He gets you back as his heir. The future Lord of the Rock. And he ships me off to Castle Black, out of sight at last. All so perfect. It felt good to take that from him. He knows I'm innocent and he's willing to sacrifice me anyway. He's willing to sacrifice any of us. Not you. You're the golden son. You could kill a king, lose a hand, fuck your own sister, you'll always be the golden son."
12925,jaimeCareful. I'm the last friend you've got.
12926,tyrionAt least I got to tell them what they really are.
12927,"jaimeYes, brilliant speech. They'll be talking about it for days to come. I thought you were a realist. Didn't realize you'd die for pride."
12928,"tyrionDon't give up on me just yet. I survived one trial by combat, even though you weren't there to save me."
12929,jaimeI can't save you this time either. My training has proved that I can't beat a stable boy with my left hand.
12930,"tyrionWhere's your sense of adventure? Even if you lose, imagine the look on Father's face when you fall."
12931,tyrionOur family name snuffed out with a single swing of the sword.
12932,jaimeIt is tempting.
12933,"tyrionWell... Bronn fought for me once, he'll do it again. If he wins, I expect I'll be in his debt for the rest of my life."
12934,jaimeIf he wins.
12935,tyrionWill you find him for me? Who does Cersei plan on naming as a champion? I hope it's Ser Meryn Trant. I'd enjoy watching Bronn disembowel that pompous child beater.
12936,jaimeNo. Not Ser Meryn.
12937,"guardGo on, move it."
12938,guardAnd you. Come on.
12939,"prisonerMercy. Please. Please, mercy."
12940,cerseiSer Gregor. Welcome to the capital. Thank you for riding here so quickly.
12941,cerseiYou seem to be in good form.
12942,mountainWho am I fighting?
12943,cerseiDoes it matter?
12944,sandorCould be food.
12945,aryaCould be soldiers.
12946,aryaYou shouldn't be sitting out here like this.
